,height_range (cm),weight_range (kg),average_speed (km/h),altitude_difference (m),average_slope (%),wind_direction,wind_speed (m/s),weather,wh/km
0,179.62884160832303,82.08031393510487,18.541500406939406,-2.444657766651266,-0.18521999690515872,E,3.460805319129033,Wet,27.966002414229564
1,184.99,89.86443287492764,7.905930459237329,5.375984,0.362819983921724,W,6.434354355488818,Dry,18.37306320324887
2,183.86034826404367,88.8104454507124,17.843658410851184,-1.3080993790849118,-0.042886546361679455,SSE,7.414368979282961,Dry,21.30344311959437
3,164.99,44.99,17.34401491990609,-3.299602226689406,-0.251017205188779,SSE,6.913919791200678,Dry,16.061809764946783
4,168.39313758277106,44.99,10.355246611945393,-5.542149866839111,-0.36228809214778646,SSE,6.5738139847911325,Dry,18.59803372715641
5,177.6501712661935,72.60433237327139,14.1480311602202,-3.0511141102471346,-0.2711674834398462,W,7.519373103366682,Dry,21.218605074543017
6,174.9570561656917,55.1336509312802,14.060104558478992,4.059355029038571,0.3434224247939518,W,4.404605319848794,Dry,16.599731591720477
7,182.97943958597187,88.42533343248769,22.423945694996995,-1.9433515278435136,-0.14698243359224455,SE,3.2691966563701076,Wet,39.17075586495962
8,176.37477773868295,63.27740406956658,5.372711040169092,5.375984,0.3556594042867978,E,5.4129789968092075,Dry,8.92
9,168.3908705161978,45.33070445767457,16.990820755136852,-5.443052323711115,-0.4789296384426979,W,7.8,Dry,10.663431088136878
10,176.33765545107394,72.19445248821401,14.993595753880534,2.0800234617142217,0.10430795164990449,SSE,2.513951322341263,Dry,13.698341449839042
11,170.68362680895655,57.48979843512911,18.964543514912766,5.375984,0.383998857,SSE,5.412778573094118,Wet,30.380081361419524
12,184.36261937641297,90.284775190805,14.574186496182117,5.375984,0.383998857,E,6.154862023575734,Wet,26.017393746048697
13,164.99,44.99,13.9891719572003,0.33993773251940895,0.1555652309364166,SE,0.9978986955633573,Dry,9.584524092462132
14,173.30020926626347,56.546645882812335,16.622397156443967,-4.517548762177342,-0.31314778463235965,W,7.8,Wet,24.05930594998384
15,170.00448520633654,54.22555713833947,11.06874117521859,5.119686679791019,0.3534656036510368,NE,6.114571538426723,Dry,13.202051070794377
16,166.81972729010266,48.55115460141813,21.29913112168665,-5.759819272756085,-0.5200782496053777,E,5.255727142273254,Wet,22.249377483288185
17,167.66636751179857,46.294601349024695,15.183589864679245,5.375984,0.383998857,W,3.699698708656613,Dry,8.92
18,166.91574073601134,44.99,17.450562652041235,-1.7014871188238436,-0.16701630579769244,W,5.451513968159324,Dry,8.92
19,184.99,94.99,21.045382608154622,-3.5812270635685355,-0.22526497260026235,W,7.308798502162551,Wet,35.363426261768275
20,184.99,94.99,23.900442161239532,-6.922195695562888,-0.5619890558970819,WSW,5.068842151145512,Wet,43.08
21,170.50705049499507,48.44492339267837,19.032026306230755,-5.771975959143828,-0.5167493079886875,W,6.755575066246388,Wet,14.910379860764706
22,164.99,44.99,16.232051535734154,-7.826535601555279,-0.6137586405778868,SSE,5.997581443818336,Dry,8.92
23,178.4651612842879,81.25417276201503,26.44669636777237,-1.5853972064448265,-0.04389866423150287,SSE,4.569724208265668,Wet,32.872200378895805
24,183.08476635163484,89.10012321040156,13.58779786789399,1.3169476612665871,0.10390493233516739,WSW,6.286520883913539,Dry,28.303708020822995
25,164.99,48.72591924575191,19.186654648731636,2.6006866451408226,0.2207705985589684,WE,3.6085415470771673,Dry,26.457068685417973
26,169.72440366521147,44.99,7.053798781639128,-6.326079814095705,-0.4140499404376453,W,7.8,Dry,12.185225101775695
27,184.1981806561788,86.9646684102734,5.496641040979796,0.648662150074453,-0.012450859345240775,W,6.737825768694238,Wet,20.476143272429606
28,180.78949221174616,74.30360847979914,20.18152801901467,-1.716856410854199,-0.09534477986960292,W,6.71664248579504,Dry,29.69801550652567
29,184.99,94.99,11.377509580985738,0.127391980135393,-0.12628333793592683,E,5.600345304714939,Dry,38.5776851408928
30,172.39703886037788,52.077347619698,7.680353925136991,-4.489914275068181,-0.39948585845543383,W,6.335391441616758,Dry,8.92
31,164.99,44.99,19.66757982596536,-2.7763162364198197,-0.25997098928699003,SE,3.7873201415099,Dry,23.854304952774804
